Sr. no.,Message_ID,Customer_Name,Phone_Number,Date,Complaint_Text,Category
35,c5709e30,Amber Vang,+1-100-167-6184x72304,30-04-2025,I placed the order two days ago and it's still not here!,Late Delivery
36,8532fc74,Larry Taylor,891-411-7393,30-04-2025,Your delivery boy was very rude.,Rude Staff
37,33a0daa7,Jason Martin,-1385,30-04-2025,I received the wrong product. Please check your dispatch.,Wrong Item
38,c78f07cf,Misty Garcia,374-470-1204x556,30-04-2025,I�ve been texting for help and no one responds.,No Response
39,e3ea2d7f,Samuel Alvarado,(557)941-5521,30-04-2025,I�ve been texting for help and no one responds.,No Response
40,4596da75,Melissa Mendoza,(212)021-6979x72965,30-04-2025,The item arrived broken. This is unacceptable!,Damaged Product
41,e1446b45,Valerie Anderson,167.014.5089x9358,30-04-2025,The product arrived broken and unusable,Damaged Product
42,1861c9f3,Nicholas Olson,+1-628-900-2877x21753,30-04-2025,I was charged more than what was mentioned.,Overcharged
43,81c61eeb,Mason Powell,177.971.7751,30-04-2025,I�ve been texting for help and no one responds.,No Response
44,1a46d536,Andrew Dunn,994-883-7550,30-04-2025,The product arrived broken and unusable,Damaged Product
45,8f660bbd,Lindsay Moran,(711)305-5488x510,30-04-2025,The item arrived broken. This is unacceptable!,Damaged Product
46,b783e1d5,Jennifer King,316.373.5160,30-04-2025,Your delivery boy was very rude.,Rude Staff
47,1f8b4af1,Joanna Barrett,270.808.6978x29221,30-04-2025,I was charged more than what was mentioned.,Overcharged
48,e1f85b33,Stanley Barnes,+1-346-547-2269x848,30-04-2025,Your delivery boy was very rude.,Rude Staff
49,8db78572,Christina Weber,522-885-1587x9968,30-04-2025,I�ve been texting for help and no one responds.,No Response
50,ceed0ffc,Brian James,342442043,30-04-2025,I placed the order two days ago and it's still not here!,Late Delivery
51,73dd3bc6,Sean Stevenson,863.840.6665,30-04-2025,I was charged more than what was mentioned.,Overcharged
52,4057e470,Sean Dalton,359.893.3472x122,30-04-2025,I received the wrong product. Please check your dispatch.,Wrong Item
53,6db2b020,Dennis Martin,057-202-5909x479,30-04-2025,The item arrived broken. This is unacceptable!,Damaged Product
54,b52a9e6b,Daniel White,826-886-1533,30-04-2025,Your delivery boy was very rude.,Rude Staff
55,37ec07a6,Lisa Wells,-10058,30-04-2025,I placed the order two days ago and it's still not here!,Late Delivery
56,1d06149e,Joshua Campbell,588.770.4358x11288,30-04-2025,I placed the order two days ago and it's still not here!,Late Delivery
57,ab9b153d,Christy Jennings,386-120-7501,30-04-2025,I received the wrong product. Please check your dispatch.,Wrong Item
58,407d0aff,Laura Perez,667-665-0618x091,30-04-2025,The item arrived broken. This is unacceptable!,Damaged Product
59,129538df,Jonathan Roberts,+1-491-476-6072x83268,30-04-2025,I�ve been texting for help and no one responds.,No Response
60,4c4d6e40,Suzanne Norton,001-508-821-0099x6881,30-04-2025,Your delivery boy was very rude.,Rude Staff
61,e74ed0b3,Christine Whitehead,222.394.3129x08781,30-04-2025,Your delivery boy was very rude.,Rude Staff
62,1923cafc,Kevin Lynn,(231)491-3577x594,30-04-2025,The item arrived broken. This is unacceptable!,Damaged Product
63,5d4f7107,Tina Jackson,336-452-5777x54781,30-04-2025,Your delivery boy was very rude.,Rude Staff
64,d77fbeeb,Ronald Vance,411.080.9969,30-04-2025,I�ve been texting for help and no one responds.,No Response
65,42b7c048,Yvonne Kennedy,001-256-394-2788x16580,30-04-2025,I received the wrong product. Please check your dispatch.,Wrong Item
66,fb5abb36,Carol Palmer,229.927.5037x314,30-04-2025,I received the wrong product. Please check your dispatch.,Wrong Item
67,34ef2552,Rebecca Hughes,005.184.4989x266,30-04-2025,I placed the order two days ago and it's still not here!,Late Delivery
68,d5e14d1f,David Kaufman,865.577.9082,30-04-2025,I placed the order two days ago and it's still not here!,Late Delivery
69,83b8fa05,Christine Lopez,(913)651-7773x926,30-04-2025,I placed the order two days ago and it's still not here!,Late Delivery
70,92d00319,Brandy Hunt,001-202-428-6990,30-04-2025,I received the wrong product. Please check your dispatch.,Wrong Item
71,72fefdc2,Kaitlin Olson,692.929.8425,30-04-2025,I�ve been texting for help and no one responds.,No Response
72,3ad51382,Carlos Smith,862.912.7990x88117,30-04-2025,I received the wrong product. Please check your dispatch.,Wrong Item
73,d3d877a8,Todd Gregory,(865)086-3765x99162,30-04-2025,I received the wrong product. Please check your dispatch.,Wrong Item
74,e8fb5a96,Diane Mcdowell,(430)098-1806x35651,30-04-2025,I placed the order two days ago and it's still not here!,Late Delivery
75,40ee131d,Joshua Cunningham,+1-463-688-7258x874,30-04-2025,The item arrived broken. This is unacceptable!,Damaged Product
76,b49b4b72,Charles Shields,372-138-6589,30-04-2025,I placed the order two days ago and it's still not here!,Late Delivery
77,a2c8cf62,Brandon Thomas,+1-611-435-1906x698,30-04-2025,The item arrived broken. This is unacceptable!,Damaged Product
78,0eb5e5a7,Samantha Bowman,038.430.9883x920,30-04-2025,I�ve been texting for help and no one responds.,No Response
79,f9c3ee05,Zachary Chan,(669)380-1184x895,30-04-2025,I�ve been texting for help and no one responds.,No Response
80,39ee80ab,Cheyenne Spears,001-042-681-8184,30-04-2025,I was charged more than what was mentioned.,Overcharged
81,8366c189,Sherri Li,001-476-973-5779,30-04-2025,The product arrived broken and unusable,Damaged Product
82,114b3c79,Richard Robinson,001-356-588-0434x165,30-04-2025,I was charged more than what was mentioned.,Overcharged
83,79ff89d9,Daniel Berry,(373)334-3333,30-04-2025,I�ve been texting for help and no one responds.,No Response
84,1b4ffd5f,Blake Sosa,908.075.9579x4728,30-04-2025,I placed the order 2 days ago and it's still not here!,Late Delivery
85,93a05478,Joseph Henderson,-2586,30-04-2025,I placed the order 2 days ago and it's still not here!,Late Delivery
86,61223189,Erika Salazar,284-347-9552x763,30-04-2025,I placed the order two days ago and it's still not here!,Late Delivery
87,5d75c03c,Diana White,(931)438-6632,30-04-2025,I received the wrong product. Please check your dispatch.,Wrong Item
88,2d36226c,Chad Barry,+1-885-744-8906x1203,30-04-2025,I was charged more than what was mentioned.,Overcharged
89,18a73d94,George Ward,-6844,30-04-2025,I placed the order two days ago and it's still not here!,Late Delivery
90,2cae93a2,Dominique Nguyen,771.694.7225x69961,30-04-2025,I was charged more than what was mentioned.,Overcharged
91,50405c43,Eddie Adams,+1-647-598-7622x0234,30-04-2025,I was charged more than what was mentioned.,Overcharged
92,1a5ed196,Timothy Kennedy,681149216,30-04-2025,I received the wrong product. Please check your dispatch.,Wrong Item
93,48bfb602,Cameron Rose,(005)577-8487,30-04-2025,I�ve been texting for help and no one responds.,No Response
94,8a0ec018,Kyle Welch,+1-968-845-7831x7456,30-04-2025,I placed the order two days ago and it's still not here!,Late Delivery
95,00060d5a,Olivia Taylor,780-774-0649x3085,30-04-2025,I received the wrong product. Please check your dispatch.,Wrong Item
96,6fe633f1,Christopher Mclaughlin,(634)163-8944x8463,30-04-2025,I�ve been texting for help and no one responds.,No Response
97,1c405045,Lisa Nelson,+1-735-020-8021x442,30-04-2025,The product arrived broken and unusable,Damaged Product
98,17172654,Johnny Peterson,757-051-2046x1872,30-04-2025,I placed the order two days ago and it's still not here!,Late Delivery
99,d13757e1,Adam Villegas,001-367-303-7183x764,30-04-2025,Your delivery boy was very rude.,Rude Staff
100,0accb23c,Krista Martinez,435.031.3650x2491,30-04-2025,I was charged more than what was mentioned.,Overcharged
101,f80590f0,Richard Alvarez,+1-251-327-1950x052,30-04-2025,There was a delay in delivery,Late Delivery
102,7ce34563,William Kramer,001-573-065-2407x78487,30-04-2025,I was charged more than what was mentioned.,Overcharged
103,59008d65,John Dillon,+1-821-827-4485x708,30-04-2025,I was charged more than what was mentioned.,Overcharged
104,04cad30a,Helen Oliver,186-387-8294x56511,30-04-2025,There was a delay in delivery,Late Delivery
105,d5cf3b4c,Cassandra Johnson,731-096-7899,30-04-2025,Your delivery boy was very rude.,Rude Staff
106,9b1fc6d1,Alexis Mccall,+1-717-058-6509x4801,30-04-2025,I�ve been texting for help and no one responds.,No Response
107,f5e90352,Ashley Hall,(338)392-8861x9576,30-04-2025,The item arrived broken. This is unacceptable!,Damaged Product
108,8cca8963,George Moore,+1-755-855-6659x398,30-04-2025,The item arrived broken. This is unacceptable!,Damaged Product
109,ed17f6e9,Heather Chavez,(004)908-2404x3350,30-04-2025,Delivery was not on time,Late Delivery
110,8e6b3085,Laura Davis,522.459.3344x196,30-04-2025,I received the wrong product. Please check your dispatch.,Wrong Item
111,13c37b5d,Rebecca Thompson,001-919-409-6105x566,30-04-2025,damaged product,Damaged Product
112,bf67de42,Lindsey Smith,001-604-805-8925x83206,30-04-2025,I�ve been texting for help and no one responds.,No Response
113,8135f15a,Jeffrey Hartman,(251)790-8641,30-04-2025,The item arrived broken. This is unacceptable!,Damaged Product
114,b2a7a475,Chad Hansen,693.898.3314x6591,30-04-2025,I placed the order two days ago and it's still not here!,Late Delivery
115,5d822e3a,Frank Wheeler,4259792703,30-04-2025,The item arrived broken. This is unacceptable!,Damaged Product
116,c1fad753,Angelica Singh,924.051.4770,30-04-2025,I�ve been texting for help and no one responds.,No Response
117,363d75f1,Joseph Green,920.698.0420x4394,30-04-2025,I received the wrong product. Please check your dispatch.,Wrong Item
118,0222305d,Matthew Alvarado,+1-510-463-6815x79812,30-04-2025,Delivery was not on time,Late Delivery
119,8f8937fa,Alison Wright,457.620.5554x38404,30-04-2025,I received the wrong product. Please check your dispatch.,Wrong Item
120,fd88565a,Justin Ramirez,(562)168-9363,30-04-2025,I�ve been texting for help and no one responds.,No Response
121,4ff85111,Erin Daniels,298.324.8262,30-04-2025,I placed the order two days ago and it's still not here!,Late Delivery
122,2875d40a,Justin Fry,252-056-6474,30-04-2025,I received the wrong product. Please check your dispatch.,Wrong Item
123,21acfdb5,Phillip Salazar,999-393-3051x728,30-04-2025,I received the wrong product. Please check your dispatch.,Wrong Item
124,5fbbcda5,James Wells,(330)604-6333,30-04-2025,Delivery was not on time,Late Delivery
125,fc5217cc,Luis Watts,366.096.5699x988,30-04-2025,damaged product,Damaged Product
126,09dbebb5,Jocelyn Wilcox,3886086803,30-04-2025,Your delivery boy was very rude.,Rude Staff
127,4df742ae,Donna Jackson,908-277-1812x9826,30-04-2025,I�ve been texting for help and no one responds.,No Response
128,2dcafc82,Steven Huang,145.211.1751x868,30-04-2025,I was charged more than what was mentioned.,Overcharged
129,8ce377d7,Randy Barr,001-222-206-4474,30-04-2025,I was charged more than what was mentioned.,Overcharged
130,21aea39b,April Cannon,7778097339,30-04-2025,The item arrived broken. This is unacceptable!,Damaged Product
131,1453e17e,Adriana Khan,983-022-0502x099,30-04-2025,I�ve been texting for help and no one responds.,No Response
132,0c8d51d2,Xavier Martin,999-827-9501x4556,30-04-2025,I placed the order two days ago and it's still not here!,Late Delivery
133,8cebac57,John Martinez,586-833-9019x817,30-04-2025,The item arrived broken. This is unacceptable!,Damaged Product
134,b4f136fc,Lee Stewart,995.299.7877x29343,30-04-2025,I received the wrong product. Please check your dispatch.,Wrong Item
135,a01e31f5,Nancy Clark,+1-660-558-3034x414,30-04-2025,I placed the order two days ago and it's still not here!,Late Delivery
136,c45c3fbb,Michael Peterson,001-990-235-5770x2727,30-04-2025,I�ve been texting for help and no one responds.,No Response
137,c8b3815e,Tanya Brown,495.880.3955x12405,30-04-2025,I received the wrong product. Please check your dispatch.,Wrong Item
138,2a7cf9e9,Jean Larson,001-450-461-7357x43842,30-04-2025,I was charged more than what was mentioned.,Overcharged
139,c71d4564,Brandon Hunter,823.578.4521x8230,30-04-2025,I�ve been texting for help and no one responds.,No Response
140,85b864d4,Eric Williams,+1-157-018-4094x353,30-04-2025,I received the wrong product. Please check your dispatch.,Wrong Item
141,51b3ccf5,Megan Nelson,(410)988-1385,30-04-2025,I�ve been texting for help and no one responds.,No Response
142,f17aa7a9,Diane Sanchez,495-870-2070,30-04-2025,I received the wrong product. Please check your dispatch.,Wrong Item
143,6d2cdbf9,Michael Vance,+1-795-453-8179x2171,30-04-2025,I�ve been texting for help and no one responds.,No Response
144,b5d0b595,Julie Meza,(945)625-5770,30-04-2025,Your delivery boy was very rude.,Rude Staff
145,7a88f162,Christopher Tate,+1-928-161-5814x876,30-04-2025,I was charged more than what was mentioned.,Overcharged
146,3e628981,Valerie Reyes,396-695-8321x97199,30-04-2025,The item arrived broken. This is unacceptable!,Damaged Product
147,d2701a52,Eric Sullivan,+1-196-570-1329x022,30-04-2025,I received the wrong product. Please check your dispatch.,Wrong Item
148,9d96232d,Christina Maldonado,494-651-9098x62405,30-04-2025,I received the wrong product. Please check your dispatch.,Wrong Item
149,b40f040e,Veronica Rodriguez,036-965-6666x8327,30-04-2025,I was charged more than what was mentioned.,Overcharged
150,d7e4527a,Sara Moore,+1-220-102-7621x26796,30-04-2025,damaged product,Damaged Product
151,6c936f69,Joanna Kelly,(690)973-8468,30-04-2025,The item arrived broken. This is unacceptable!,Damaged Product
152,09b185d6,Michele Wilson,128.478.1891x3718,30-04-2025,I�ve been texting for help and no one responds.,No Response
153,e7515d4b,Richard Harrison,795.654.4209x49407,30-04-2025,Delivery was not on time,Late Delivery
154,a8049463,Rhonda Weber MD,281-442-9444,30-04-2025,The item arrived broken. This is unacceptable!,Damaged Product
155,2cb37e23,Nancy Hopkins,(243)728-0512x927,30-04-2025,I�ve been texting for help and no one responds.,No Response
156,a9217ddc,Mark Clark,001-504-102-7674x7836,30-04-2025,damaged product,Damaged Product
157,87cb0e2a,Alexandra Ho,658.018.5694x544,30-04-2025,I received the wrong product. Please check your dispatch.,Wrong Item
158,6422a73e,Michael Allen,+1-938-525-8001x06181,30-04-2025,Delivery was not on time,Late Delivery
159,4886274c,Andrew Harvey,9391119269,30-04-2025,Your delivery boy was very rude.,Rude Staff
160,2f2bdc13,John Mayer,+1-746-542-1406x6504,30-04-2025,Delivery was not on time,Late Delivery
161,7de17a85,Christina Long,+1-712-863-9174x1011,30-04-2025,I�ve been texting for help and no one responds.,No Response
162,7225539d,Jonathan Delgado,642569087,30-04-2025,I was charged more than what was mentioned.,Overcharged
163,ba4ef72f,Rachel Fernandez,6719855460,30-04-2025,The item arrived broken. This is unacceptable!,Damaged Product
164,1735f36b,Samuel Peterson,432.806.3461x571,30-04-2025,I received the wrong product. Please check your dispatch.,Wrong Item
165,23d34d22,Alexander Davies,761.847.8700,30-04-2025,I�ve been texting for help and no one responds.,No Response
166,b8943df8,Bruce Roman,+1-878-293-1027x07903,30-04-2025,I received the wrong product. Please check your dispatch.,Wrong Item
167,a1f619ed,Eric Leon,929.111.7993x136,30-04-2025,I�ve been texting for help and no one responds.,No Response
168,bce8e033,Erika Daugherty,001-825-309-2511,30-04-2025,I received the wrong product. Please check your dispatch.,Wrong Item
169,2b056167,Kristen Gonzales,001-021-962-0710,30-04-2025,I placed the order two days ago and it's still not here!,Late Delivery
170,b4ecfe8d,Stacie Butler,001-723-248-7632x90927,30-04-2025,I was charged more than what was mentioned.,Overcharged
171,d3946dc7,Hannah Smith,318.195.8837,30-04-2025,The item arrived broken. This is unacceptable!,Damaged Product
172,0d95ee72,Robert Jennings,722.005.4364x5970,30-04-2025,I was charged more than what was mentioned.,Overcharged
173,8990779c,Richard Washington,137-995-6353,30-04-2025,I was charged more than what was mentioned.,Overcharged
174,3cb3c9fa,Sheila Bennett,179.706.2397,30-04-2025,The item arrived broken. This is unacceptable!,Damaged Product
175,752e7613,Lynn Cantrell,520.904.2177,30-04-2025,Your delivery boy was very rude.,Rude Staff
176,384852b6,Lindsey Clarke,+1-929-831-6873x9774,30-04-2025,I was charged more than what was mentioned.,Overcharged
177,df629d0c,Garrett Riley,001-290-600-7806,30-04-2025,I placed the order two days ago and it's still not here!,Late Delivery
178,cc4ae02c,Annette Simpson,806-325-4310,30-04-2025,Your delivery boy was very rude.,Rude Staff
179,b40bc353,Kelly Silva,726.257.0165x804,30-04-2025,I�ve been texting for help and no one responds.,No Response
180,f2335074,Laura Clark,+1-195-085-0165x79055,30-04-2025,Your delivery boy was very rude.,Rude Staff
181,11274cb2,Patricia Taylor,381-793-3554x86401,30-04-2025,The item arrived broken. This is unacceptable!,Damaged Product
182,805f0892,Barbara Mckinney,+1-847-951-3711x62411,30-04-2025,I�ve been texting for help and no one responds.,No Response
183,25e050f6,Shaun Meyer DDS,682-756-7043x1038,30-04-2025,I received the wrong product. Please check your dispatch.,Wrong Item
184,57c13f7e,Rachel Tucker,+1-887-749-2424x37540,30-04-2025,Your delivery boy was very rude.,Rude Staff
185,f4ca6e70,Thomas Joseph,222-231-0592x7452,30-04-2025,I placed the order two days ago and it's still not here!,Late Delivery
186,aa61b32f,Gregg Watson,-7664,30-04-2025,I�ve been texting for help and no one responds.,No Response
187,8bd03267,Erin Thornton,492.975.1702x8140,30-04-2025,Your delivery boy was very rude.,Rude Staff
188,722b4439,Gabriel Franklin,983.430.1871,30-04-2025,I�ve been texting for help and no one responds.,No Response
189,51589375,Kayla Brown,+1-562-656-5045x54781,30-04-2025,The item arrived broken. This is unacceptable!,Damaged Product
190,bdd4c1f2,Regina Roberts PhD,(629)912-3478x51961,30-04-2025,Your delivery boy was very rude.,Rude Staff
191,45f8e14d,Justin Page,001-232-648-7049x47873,30-04-2025,I received the wrong product. Please check your dispatch.,Wrong Item
192,433ecd2c,Martin Fields,462-730-1471,30-04-2025,The item arrived broken. This is unacceptable!,Damaged Product
193,7b011fdd,Sheena Burton,158.904.2902x5725,30-04-2025,I received the wrong product. Please check your dispatch.,Wrong Item
194,6b65450b,Tina Williams,818-321-9285x5445,30-04-2025,Your delivery boy was very rude.,Rude Staff
195,d2c4c286,Chad Campbell,001-765-213-2833x89888,30-04-2025,The item arrived broken. This is unacceptable!,Damaged Product
196,138ef8cc,Carlos Smith,(452)798-5240x132,30-04-2025,Your delivery boy was very rude.,Rude Staff
197,20168e6d,William Coleman,001-110-760-3108x90714,30-04-2025,Got it after the expected date,Late Delivery
198,02a13629,Rachel Mora,932.501.2495,30-04-2025,I�ve been texting for help and no one responds.,No Response
199,c7e2a618,Dana Hudson,908-334-2801,30-04-2025,I placed the order two days ago and it's still not here!,Late Delivery
200,b52f80c9,Michael Lopez,+1-125-663-8361x51718,30-04-2025,I�ve been texting for help and no one responds.,No Response
201,b4693ec4,Nathan Miller,164.794.7386x4631,30-04-2025,I was charged more than what was mentioned.,Overcharged
202,2de66d5b,Michael Powers,(781)126-6912x1535,30-04-2025,late delivery,Late Delivery
203,677f7c73,Ryan Hardy,994-657-9678x427,30-04-2025,I was charged more than what was mentioned.,Overcharged
204,7f4d55b9,Tommy Johnson,001-017-026-9524x9911,30-04-2025,I�ve been texting for help and no one responds.,No Response
205,774d34f5,Matthew Henry,858-800-6167x567,30-04-2025,I was charged more than what was mentioned.,Overcharged
206,8e81b2f0,Peggy Dyer,(762)467-1978,30-04-2025,I was charged more than what was mentioned.,Overcharged
207,8feff87b,Katie Myers,969.545.0090x2559,30-04-2025,Your delivery boy was very rude.,Rude Staff
208,575c9669,Jeffrey Braun,(503)334-9114x15208,30-04-2025,I�ve been texting for help and no one responds.,No Response
209,dd05b827,Jose Fisher,7905696591,30-04-2025,I was charged more than what was mentioned.,Overcharged
210,34b6685d,Jonathan Hubbard,294-563-7183x44049,30-04-2025,I placed the order two days ago and it's still not here!,Late Delivery
211,be2de8c8,Michelle Lane,001-541-987-6351,30-04-2025,I received the wrong product. Please check your dispatch.,Wrong Item
212,cddb3f9e,Matthew Edwards,(649)878-2082x97374,30-04-2025,Your delivery boy was very rude.,Rude Staff
213,da4f706b,Jessica Knight,+1-083-572-3246x6513,30-04-2025,2 days late delivery,Late Delivery
214,a5630d3a,Michael Young,123.034.7786,30-04-2025,I was charged more than what was mentioned.,Overcharged
215,33b5a667,Chad Green,820-700-1594x165,30-04-2025,Your delivery boy was very rude.,Rude Staff
216,f17312f4,Sarah Young,001-818-984-7139,30-04-2025,I placed the order two days ago and it's still not here!,Late Delivery
217,544c14d1,Nancy Shaffer,001-363-212-3476x4907,30-04-2025,I placed the order two days ago and it's still not here!,Late Delivery
218,1ceb08fe,Jeff Vega,257-540-9003x486,30-04-2025,The item arrived broken. This is unacceptable!,Damaged Product
219,5ce4124b,Melinda Nichols,760.644.1343,30-04-2025,Your delivery boy was very rude.,Rude Staff
220,5132fe68,Pamela Sullivan,4177656124,30-04-2025,Your delivery boy was very rude.,Rude Staff
221,9a244525,Kimberly Murphy,001-002-720-6345x911,30-04-2025,I received the wrong product. Please check your dispatch.,Wrong Item
222,f83bf029,Marie Anderson,+1-657-724-2954x316,30-04-2025,The item arrived broken. This is unacceptable!,Damaged Product
223,60980b94,Stacey Walker,8931734206,30-04-2025,Got it after the expected date,Late Delivery
224,263553ba,Jacob Valentine,086-771-3334,30-04-2025,I was charged more than what was mentioned.,Overcharged
225,2154be4a,Daniel Lewis,362-620-4439x7359,30-04-2025,I placed the order two days ago and it's still not here!,Late Delivery
226,7808a004,Frank Steele,+1-366-941-1800x53759,30-04-2025,I was charged more than what was mentioned.,Overcharged
227,0ba6aa86,Jonathan James,(528)092-4287x5721,30-04-2025,Your delivery boy was very rude.,Rude Staff
228,244cb9a8,Erik Good,456.449.4856x2572,30-04-2025,Your delivery boy was very rude.,Rude Staff
229,a2fba345,Amy Hernandez,207.427.6170,30-04-2025,Your delivery boy was very rude.,Rude Staff
230,8f942977,Mr. Ryan Camacho,513-422-8499,30-04-2025,I�ve been texting for help and no one responds.,No Response
231,010e622b,Laura Butler,371-504-1659,30-04-2025,I received the wrong product. Please check your dispatch.,Wrong Item
232,076451d3,Ronald Keller,490.509.7592x304,30-04-2025,I�ve been texting for help and no one responds.,No Response
233,121af952,Lindsey Davis,236-103-2664x214,30-04-2025,I placed the order two days ago and it's still not here!,Late Delivery
234,ce6d29bf,Stephanie Munoz,(158)377-6749x961,30-04-2025,I placed the order two days ago and it's still not here!,Late Delivery
235,2fb50401,Jeffery Williams,732-788-1476x17422,30-04-2025,I placed the order two days ago and it's still not here!,Late Delivery
236,6d7fd4e2,Anthony Jones,8186617945,30-04-2025,I received the wrong product. Please check your dispatch.,Wrong Item
237,80e1be4d,Patrick Ford,(601)645-9779,30-04-2025,The item arrived broken. This is unacceptable!,Damaged Product
238,df107434,Christine Miller,+1-416-800-6102x776,30-04-2025,I was charged more than what was mentioned.,Overcharged
239,b9d5546c,Mr. William Ward,+1-641-220-3103x03723,30-04-2025,There was a delay in delivery,Late Delivery
240,ca3e3238,Angelica Carrillo,(760)122-7770,30-04-2025,I was charged more than what was mentioned.,Overcharged
241,4b7a123e,Sandra Williams,1667998407,30-04-2025,I was charged more than what was mentioned.,Overcharged
242,b98050a6,Meghan Velasquez,308.069.5814x6717,30-04-2025,There was a delay in delivery,Late Delivery
243,72c573e9,Alisha Roberts,757.383.9597,30-04-2025,Your delivery boy was very rude.,Rude Staff
244,b61d56f5,Jason Pugh,+1-572-934-1722x3297,30-04-2025,There was a delay in delivery,Late Delivery
245,fe678797,David Hawkins DVM,(452)280-1561x931,30-04-2025,The item arrived broken. This is unacceptable!,Damaged Product
246,fe60afde,Henry Williams,-9048,30-04-2025,I�ve been texting for help and no one responds.,No Response
247,f287b989,Justin Romero,(135)247-8712,30-04-2025,I received the wrong product. Please check your dispatch.,Wrong Item
248,2.35E+76,Dakota Montes,001-037-548-2145x65328,30-04-2025,delay for delivery,Late Delivery
249,cd40b648,Thomas Villanueva,507.208.1155x62606,30-04-2025,I�ve been texting for help and no one responds.,No Response
250,26a4cbef,Amy Welch,001-846-684-5504x892,30-04-2025,Your delivery boy was very rude.,Rude Staff
251,e3386d52,Rachel Pearson,001-563-410-8562x884,30-04-2025,I was charged more than what was mentioned.,Overcharged
252,4fefc63f,Nicole Moore,8943468105,30-04-2025,Your delivery boy was very rude.,Rude Staff
253,1fb235c4,Matthew Martinez,907-539-9893x5449,30-04-2025,I was charged more than what was mentioned.,Overcharged
254,bccd9b8c,Garrett Aguilar,001-571-266-1106x27371,30-04-2025,Got it after the expected date,Late Delivery
